,Location,Year,Population
446,SD,2005,775493.0
447,SD,2006,783033.0
448,SD,2008,799124.0
449,SD,2007,791623.0
450,SD,2009,807067.0
451,TN,2009,6306019.0
452,TN,2007,6175727.0
453,TN,2008,6247411.0
454,TN,2006,6088766.0
455,TN,2005,5991057.0
456,TN,2003,5847812.0
457,TN,2004,5910809.0
458,TN,2002,5795918.0
459,TN,2001,5750789.0
460,TN,1999,5638706.0
461,TN,2000,5703719.0
462,TX,2000,20944499.0
463,TX,1999,20558220.0
464,TX,2001,21319622.0
465,TX,2002,21690325.0
466,TX,2004,22394023.0
467,TX,2003,22030931.0
468,TX,2005,22778123.0
469,TX,2006,23359580.0
470,TX,2008,24309039.0
471,TX,2007,23831983.0
472,TX,2009,24801761.0
473,UT,2009,2723421.0
474,UT,2007,2597746.0
475,UT,2008,2663029.0
476,UT,2006,2525507.0
477,UT,2005,2457719.0
478,UT,2003,2360137.0
479,UT,2004,2401580.0
480,UT,2002,2324815.0
481,UT,2001,2283715.0
482,UT,1999,2203482.0
483,UT,2000,2244502.0
484,VT,2000,609618.0
485,VT,1999,604683.0
486,VT,2001,612223.0
487,VT,2002,615442.0
488,VT,2004,619920.0
489,VT,2003,617858.0
490,VT,2005,621215.0
491,VT,2006,622892.0
492,VT,2008,624151.0
493,VT,2007,623481.0
494,VT,2009,624817.0
495,VA,2009,7925937.0
496,VA,2007,7751000.0
497,VA,2008,7833496.0
498,VA,2005,7577105.0
499,VA,2006,7673725.0
500,VA,2003,7366977.0
501,VA,2004,7475575.0
502,VA,2002,7286873.0
503,VA,2001,7198362.0
504,VA,1999,7000174.0
505,VA,2000,7105817.0
506,WA,2000,5910512.0
507,WA,1999,5842564.0
508,WA,2001,5985722.0
509,WA,2002,6052349.0
510,WA,2004,6178645.0
511,WA,2003,6104115.0
512,WA,2005,6257305.0
513,WA,2006,6370753.0
514,WA,2008,6562231.0
515,WA,2007,6461587.0
516,WA,2009,6667426.0
517,WV,2009,1847775.0
518,WV,2007,1834052.0
519,WV,2008,1840310.0
520,WV,2006,1827912.0
521,WV,2005,1820492.0
522,WV,2003,1812295.0
523,WV,2004,1816438.0
524,WV,2002,1805414.0
525,WV,2001,1801481.0
526,WV,1999,1811799.0
527,WV,2000,1807021.0
