Year,Location,Population,Total Suicides (18 to 24),Total Suicides (25 to 34),Total Suicides (35 to 44),Total Suicides (45 to 54),Total Suicides (55+),Suicides per 100k (18 to 24),Suicides per 100k (25 to 34),Suicides per 100k (35 to 44),Suicides per 100k (45 to 54),Suicides per 100k (55+)
2008,AZ,6280362.0,97.0,126.0,157.0,245.0,347.0,1.5444969573409941,2.006253779638817,2.4998559000261453,3.9010490159643663,5.525159218529123
2008,AR,2874554.0,51.0,85.0,78.0,100.0,133.0,1.7741882740766044,2.956980456794341,2.713464419175984,3.478800537405107,4.6268047147487925
2008,CA,36604337.0,331.0,487.0,659.0,947.0,1351.0,0.9042644318349489,1.3304434389837467,1.8003331135324208,2.5871251267302013,3.690819478577088
2008,CO,4889730.0,92.0,107.0,135.0,242.0,227.0,1.8814944792452752,2.188259883470048,2.7608886380229585,4.949148521493007,4.642383117268234
2008,CT,3545579.0,32.0,39.0,60.0,87.0,97.0,0.902532421361927,1.0999613885348485,1.6922482900536133,2.453760020577739,2.7358014022533412
2008,DE,883874.0,11.0,18.0,16.0,35.0,29.0,1.2445212779197035,2.036489363868606,1.810212767883205,3.9598404297445113,3.281010641788309
2008,FL,18527305.0,194.0,337.0,471.0,683.0,1055.0,1.047103180953733,1.8189369689763297,2.542193805305197,3.6864508896463892,5.694298226320558
2008,GA,9504843.0,101.0,151.0,170.0,251.0,308.0,1.0626161841915747,1.588663800127998,1.7885618941838386,2.6407590320008443,3.2404533141683665
2008,HI,1332213.0,16.0,17.0,27.0,35.0,38.0,1.2010091479365537,1.2760722196825882,2.0267029371429346,2.6272075111112114,2.852396726349315
2008,ID,1534320.0,25.0,26.0,39.0,66.0,96.0,1.6293863079409772,1.6945617602586163,2.5418426403879244,4.3015798529641796,6.256843422493351
2008,IL,12747038.0,106.0,175.0,241.0,304.0,372.0,0.8315657331530666,1.3728679556772325,1.8906352989612174,2.3848677630050212,2.9183250257824604
2008,IN,6424806.0,62.0,131.0,169.0,192.0,255.0,0.9650096827826398,2.0389720716859,2.6304296191978405,2.9884170821655935,3.9689914372511796
2008,IA,3016734.0,46.0,58.0,80.0,90.0,106.0,1.5248278436216118,1.9226090202185542,2.6518745106462815,2.983358824477067,3.5137337266063233
2008,KS,2808076.0,59.0,56.0,61.0,74.0,87.0,2.101082734227991,1.9942480189282628,2.172305877761143,2.635256310726633,3.0982067436921223
2008,KY,4289878.0,38.0,93.0,122.0,167.0,192.0,0.8858060765364422,2.1678938188918195,2.8439037194064727,3.8928845995154178,4.475651755131498
2008,LA,4435586.0,67.0,94.0,108.0,116.0,147.0,1.5105106743505818,2.1192239311784284,2.4348530273113855,2.6152125108159328,3.314105509396053
2008,ME,1330509.0,14.0,22.0,32.0,53.0,60.0,1.0522288838331797,1.6535025317378538,2.4050945916186963,3.9834379173684655,4.509552359285055
2008,MD,5684965.0,52.0,75.0,91.0,131.0,158.0,0.914693406203908,1.3192693358710212,1.600713460856839,2.304323773321384,2.7792607342349513
2008,MA,6468967.0,35.0,60.0,119.0,155.0,140.0,0.54104465210597,0.9275051178959485,1.839551817160298,2.396054887897867,2.16417860842388
2008,MI,9946889.0,107.0,187.0,245.0,327.0,314.0,1.0757132204853195,1.8799847872033155,2.4630816730738627,3.287460028959808,3.156765899368134
2008,MN,5247018.0,72.0,88.0,122.0,157.0,157.0,1.3722079855643718,1.677143093467566,2.3251301977618524,2.992175746300089,2.992175746300089
2008,MS,2947806.0,43.0,69.0,69.0,89.0,139.0,1.458712004792717,2.3407239146673833,2.3407239146673833,3.0191946145709725,4.715371364329946
2008,MO,5923916.0,102.0,114.0,136.0,209.0,218.0,1.7218340030479837,1.9244027092889229,2.295778670730645,3.528071633696359,3.6799981633770633
2008,MT,976415.0,25.0,42.0,31.0,45.0,60.0,2.560386720810311,4.301449690961323,3.174879533804786,4.6086960974585605,6.144928129944747
2008,NE,1796378.0,25.0,33.0,28.0,59.0,46.0,1.3916892769784535,1.8370298456115584,1.5586919902158678,3.28438669366915,2.560708269640354
2008,NV,2653630.0,46.0,69.0,90.0,135.0,188.0,1.7334745235771378,2.6002117853657065,3.391580589607443,5.087370884411165,7.0846350094022155
2008,NH,1315906.0,12.0,21.0,42.0,53.0,51.0,0.9119192404320673,1.5958586707561178,3.1917173415122355,4.027643311908298,3.8756567718362858
2008,NJ,8711090.0,52.0,86.0,120.0,158.0,199.0,0.5969402221765588,0.9872472905227705,1.3775543588689818,1.8137799058441595,2.2844443117910616
2008,NM,2010662.0,51.0,59.0,68.0,130.0,111.0,2.536478035592258,2.9343569431361414,3.3819707141230104,6.465532247588108,5.520569842171384
2008,NY,19212436.0,123.0,198.0,282.0,363.0,443.0,0.6402103304338919,1.0305824831374846,1.467799294165508,1.8894012190853882,2.3057981819692204
2008,NC,9309449.0,119.0,182.0,234.0,280.0,347.0,1.2782711415036487,1.9550029222996979,2.513575185813897,3.0076968035379967,3.727395681527446
2008,ND,657569.0,13.0,15.0,17.0,18.0,23.0,1.9769788417641343,2.28112943280477,2.585280023845406,2.7373553193657245,3.4977317969673143
2008,OH,11515391.0,141.0,226.0,294.0,373.0,378.0,1.2244482189098052,1.9625907622242265,2.553104796875764,3.2391431606621084,3.2825633102688396
2008,OK,3668976.0,60.0,94.0,105.0,154.0,162.0,1.6353336734827373,2.5620227551229555,2.8618339285947902,4.197356428605692,4.415400918403391
2008,OR,3768748.0,48.0,75.0,103.0,158.0,188.0,1.2736325166872395,1.9900508073238117,2.7330031087247013,4.192373700762163,4.988394023691688
2008,PA,12612285.0,140.0,231.0,290.0,415.0,463.0,1.1100288329989372,1.8315475744482463,2.2993454397835125,3.2904426121039925,3.671023926275056
2008,RI,1055003.0,,11.0,26.0,,28.0,,1.042651063551478,2.4644479683944027,,2.654020889040126
2008,SC,4528996.0,72.0,69.0,87.0,144.0,193.0,1.5897563168525652,1.5235164703170416,1.9209555495301829,3.1795126337051305,4.261430127118682
2008,SD,799124.0,25.0,18.0,21.0,33.0,27.0,3.128425626060536,2.252466450763586,2.62787752589085,4.129521826399908,3.378699676145379
2008,TN,6247411.0,79.0,140.0,202.0,237.0,315.0,1.264523816345683,2.2409282821315903,3.233339378504152,3.793571449037049,5.0420886347960785
2008,TX,24309039.0,269.0,446.0,474.0,643.0,720.0,1.1065842627509874,1.834708480248849,1.9498919722824088,2.645106620627825,2.9618612237201147
2008,UT,2663029.0,62.0,72.0,66.0,108.0,82.0,2.3281759229809365,2.703688168623023,2.478380821237771,4.055532252934534,3.079200414265109
2008,VT,624151.0,,11.0,17.0,,28.0,,1.7623940360585821,2.7236998739087177,,4.4860939099673
2008,VA,7833496.0,100.0,138.0,172.0,245.0,293.0,1.2765692354984288,1.7616655449878318,2.1956990850572975,3.1275946269711508,3.7403478600103965
2008,WA,6562231.0,88.0,130.0,160.0,232.0,279.0,1.341007349482211,1.9810335844623574,2.4381951808767477,3.5353830122712835,4.251602846653829
2008,WV,1840310.0,27.0,38.0,55.0,55.0,86.0,1.4671441224576294,2.064869505681108,2.988626916117393,2.988626916117393,4.67312572338356
2008,WI,5640996.0,67.0,119.0,146.0,189.0,222.0,1.1877335137270084,2.1095565393061793,2.5881954179722872,3.350472150662755,3.9354752245879983
2008,WY,546043.0,15.0,21.0,23.0,31.0,34.0,2.7470364055578043,3.845850967780926,4.212122488521967,5.677208571486129,6.226615852597689
2009,AL,4757938.0,57.0,88.0,121.0,160.0,247.0,1.1979979562575216,1.8495407043975773,2.543118468546669,3.3628012807228678,5.191324477115927
2009,AK,698895.0,31.0,28.0,22.0,32.0,30.0,4.435573297848746,4.006324269024675,3.1478262113765303,4.578656307456771,4.292490288240723
2009,AZ,6343154.0,100.0,150.0,186.0,244.0,380.0,1.5765027934052995,2.3647541901079494,2.9322951957338574,3.846666815908931,5.990710614940138
2009,AR,2896843.0,47.0,67.0,69.0,114.0,125.0,1.622455894226922,2.3128626577277402,2.381903334077822,3.9353185519546625,4.315042271880112
2009,CA,36961229.0,320.0,470.0,603.0,,,0.8657720770053399,1.2716027381015929,1.6314392576069372,,
2009,CO,4972195.0,101.0,138.0,197.0,234.0,271.0,2.0312960372632207,2.775434189527965,3.9620328647609355,4.70617101702568,5.450309169290424
2009,CT,3561807.0,37.0,40.0,57.0,88.0,94.0,1.0387985648857447,1.1230254755521565,1.6003113026618232,2.4706560462147444,2.639109867547568
2009,DE,891730.0,10.0,16.0,21.0,30.0,30.0,1.121415675148307,1.7942650802372915,2.354972917811445,3.364247025444922,3.364247025444922
2009,FL,18652644.0,198.0,351.0,515.0,,,1.0615117084741443,1.8817707559314378,2.7610026760817394,,
2009,GA,9620846.0,100.0,174.0,214.0,294.0,352.0,1.0394096319596011,1.8085727596097056,2.224336612393546,3.0558643179612273,3.6587219044977957
2009,HI,1346717.0,22.0,26.0,30.0,41.0,56.0,1.6336023084285711,1.9306209099610385,2.227639511493506,3.044440665707792,4.158260421454544
2009,ID,1554439.0,27.0,36.0,66.0,84.0,91.0,1.7369610515433542,2.3159480687244725,4.245904792661533,5.403878827023768,5.854202062609082
2009,IL,12796778.0,112.0,186.0,221.0,314.0,344.0,0.8752203093622473,1.4534908709051606,1.726997217580863,2.4537426530334434,2.6881766644697596
2009,IN,6459325.0,93.0,115.0,171.0,216.0,233.0,1.4397789242684025,1.7803717880738312,2.6473354413967405,3.3440026628169353,3.6071880575756756
2009,IA,3032870.0,52.0,56.0,67.0,77.0,109.0,1.7145476067223453,1.846435884162526,2.209128647123022,2.5388493407234733,3.593955560244916
2009,KS,2832704.0,40.0,68.0,72.0,87.0,115.0,1.4120783534036736,2.400533200786245,2.541741036126613,3.07127041865299,4.059725266035562
2009,KY,4317074.0,63.0,94.0,110.0,137.0,188.0,1.4593217535766123,2.1774007116857392,2.548022109419482,3.1734457180951723,4.3548014233714785
2009,LA,4491648.0,43.0,88.0,86.0,129.0,144.0,0.9573323644239263,1.9591918155652446,1.9146647288478527,2.871997093271779,3.205950243652218
2009,ME,1329590.0,12.0,19.0,45.0,54.0,67.0,0.9025338638226822,1.42901195105258,3.3845019893350585,4.06140238720207,5.039147406343309
2009,MD,5730388.0,55.0,92.0,89.0,155.0,160.0,0.9597953925632959,1.605475929378604,1.553123453420606,2.7048779244965613,2.7921320510932244
2009,MA,6517613.0,48.0,58.0,120.0,170.0,134.0,0.7364659423626411,0.8898963470215246,1.8411648559066027,2.6083168792010203,2.0559674224290396
2009,MI,9901591.0,105.0,151.0,210.0,331.0,372.0,1.060435641100506,1.5250074457731086,2.120871282201012,3.3428971162311187,3.7569719856132213
2009,MN,5281203.0,68.0,81.0,97.0,181.0,157.0,1.2875854232454234,1.5337414600423427,1.8367027361000894,3.42724943540326,2.9728075213166396
2009,MS,2958774.0,37.0,57.0,79.0,92.0,116.0,1.250517951016198,1.926473600214143,2.670024814331882,3.1093959863105463,3.9205427653480798
2009,MO,5961088.0,70.0,153.0,158.0,236.0,243.0,1.174282278671276,2.566645551952932,2.6505228575723088,3.959008825234588,4.076437053101715
2009,MT,983982.0,33.0,30.0,28.0,52.0,76.0,3.3537198851198493,3.0488362591998635,2.8455805085865395,5.28464951594643,7.72371852330632
2009,NE,1812683.0,24.0,25.0,24.0,41.0,56.0,1.3240042522603235,1.3791710961045036,1.3240042522603235,2.261840597611386,3.0893432552740885
2009,NV,2684665.0,31.0,76.0,89.0,126.0,183.0,1.1547064531328861,2.8308932399386886,3.3151249783492545,4.693323003056247,6.816492933010264
2009,NH,1316102.0,19.0,23.0,26.0,49.0,49.0,1.4436571025649987,1.7475849136313142,1.9755307719310509,3.7231156855623655,3.7231156855623655
2009,NJ,8755602.0,53.0,86.0,107.0,153.0,158.0,0.6053267382414139,0.9822282922407848,1.22207473569493,1.7474526594516289,1.8045589555121395
2009,NM,2036802.0,62.0,63.0,54.0,85.0,112.0,3.0439875844583812,3.0930841584012585,2.651214992915364,4.173208785144555,5.498816281602237
2009,NY,19307066.0,141.0,181.0,257.0,393.0,445.0,0.7303025741974467,0.9374806094307649,1.3311188763740696,2.0355241961673514,2.304855641970665
2009,NC,9449566.0,104.0,182.0,238.0,297.0,353.0,1.100579645668383,1.9260143799196703,2.5186341891257227,3.1430014881106714,3.7356212973167233
2009,ND,664968.0,19.0,20.0,19.0,21.0,11.0,2.8572803503326476,3.0076635266659446,2.8572803503326476,3.1580467029992425,1.6542149396662695
2009,OH,11528896.0,106.0,168.0,227.0,325.0,350.0,0.9194288854717745,1.4572080448986617,1.9689656320952154,2.8190036582861016,3.0358500935388784
2009,OK,3717572.0,54.0,108.0,99.0,153.0,153.0,1.4525609725917885,2.905121945183577,2.663028449751612,4.1155894223434,4.1155894223434
2009,OR,3808600.0,48.0,79.0,113.0,172.0,232.0,1.2603056241138477,2.074253006354041,2.9669694901013495,4.5160951530746205,6.091477183216931
2009,PA,12666858.0,137.0,199.0,276.0,462.0,557.0,1.081562610080574,1.5710289007739724,2.178914455344806,3.6473133274250014,4.397301998648757
2009,RI,1053646.0,10.0,18.0,23.0,34.0,33.0,0.9490853664323691,1.7083536595782645,2.182896342794449,3.2268902458700555,3.1319817092268183
2009,SC,4589872.0,56.0,91.0,108.0,145.0,219.0,1.2200775969351652,1.982626095019643,2.353006794089247,3.1591294920642667,4.771374888014306
2009,SD,807067.0,29.0,25.0,18.0,32.0,25.0,3.5932580566421373,3.0976362557259804,2.230298104122706,3.964974407329255,3.0976362557259804
